timestamp_utc,perfect_brackets_remaining
2026-03-19T21:06:10Z,849226
2026-03-19T21:10:54Z,849226
2026-03-19T21:26:18Z,634726
2026-03-19T21:41:16Z,634726
2026-03-19T21:47:00Z,634726
2026-03-19T21:55:50Z,634726
2026-03-19T22:03:39Z,634726
2026-03-19T22:10:07Z,634726
2026-03-19T22:11:05Z,634726
2026-03-19T22:12:05Z,634726
2026-03-19T22:12:39Z,634726
2026-03-19T22:30:58Z,576882
2026-03-19T22:33:49Z,538437
2026-03-20T00:57:06Z,538437
2026-03-20T01:20:25Z,538437
2026-03-20T01:23:17Z,227358
2026-03-20T01:39:18Z,224378
2026-03-20T01:43:53Z,83184
2026-03-20T01:54:12Z,24291
2026-03-20T03:48:45Z,22734
2026-03-20T04:15:39Z,22181
2026-03-20T04:17:56Z,11207
2026-03-20T04:39:07Z,10754
2026-03-20T06:52:55Z,10754
2026-03-20T15:44:54Z,10754
2026-03-20T18:36:32Z,6313
2026-03-20T18:50:15Z,4710
2026-03-20T19:43:20Z,4662
2026-03-20T20:01:01Z,4405
2026-03-20T21:22:36Z,4288
2026-03-20T21:28:53Z,3714
2026-03-20T22:30:36Z,1850
2026-03-20T22:33:27Z,1461
2026-03-21T01:11:22Z,787
2026-03-21T01:34:45Z,673
2026-03-21T01:37:36Z,661
2026-03-21T02:01:36Z,423
2026-03-21T03:44:56Z,422
2026-03-21T04:15:45Z,393
2026-03-21T04:31:43Z,204
2026-03-21T04:48:16Z,195
2026-03-21T05:52:01Z,195
2026-03-21T05:53:57Z,195
2026-03-21T06:19:15Z,195
2026-03-21T06:22:27Z,195
2026-03-21T15:04:53Z,195
2026-03-21T20:22:34Z,180
2026-03-21T21:05:56Z,110
2026-03-21T23:43:23Z,105
2026-03-22T00:29:47Z,98
2026-03-22T01:09:52Z,22
2026-03-22T02:20:17Z,21
2026-03-22T03:16:23Z,2
2026-03-22T15:52:11Z,2
